2016-11-03 11:51:05,296 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 11:51:23,937 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-11-03 11:51:38,111 [Worker-6] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData
2016-11-03 11:51:38,118 [Worker-6] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B package
2016-11-03 11:51:38,927 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Team4_Servlet_BigData:Team4_Servlet_BigData:0.0.1-SNAPSHOT @ C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\pom.xml.
2016-11-03 11:51:39,310 [Worker-12] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/json/json/20160810/json-20160810.pom
2016-11-03 11:51:39,366 [Worker-12] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/json/json/20160810/json-20160810.pom
2016-11-03 11:51:39,433 [Worker-12] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/json/json/20160810/json-20160810.jar
2016-11-03 11:51:39,531 [Worker-12] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/json/json/20160810/json-20160810.jar
2016-11-03 11:51:41,003 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 11:51:41,029 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 11:51:41,044 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 11:51:41,081 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 11:51:41,082 [Worker-12] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Team4_Servlet_BigData
2016-11-03 11:51:41,082 [Worker-12] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Team4_Servlet_BigData
2016-11-03 11:51:41,089 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 11:51:42,530 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 11:51:42,543 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 11:51:42,545 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 11:51:42,554 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 11:52:04,088 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-11-03 11:52:08,490 [Worker-3] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData
2016-11-03 11:52:08,490 [Worker-3] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B package
2016-11-03 11:53:31,006 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 11:53:31,024 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 11:53:31,026 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 11:53:31,063 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 11:54:27,725 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 11:54:27,736 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 11:54:27,747 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 11:54:27,767 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 12:00:41,980 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:00:41,989 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 12:00:42,000 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:00:42,013 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 12:09:56,707 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:09:56,715 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 12:09:56,732 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:09:56,751 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 12:13:52,623 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:13:52,628 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 12:13:52,637 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:13:52,648 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 12:14:15,999 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:14:16,006 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 12:14:16,014 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:14:16,025 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 12:14:35,541 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:14:35,546 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 12:14:35,554 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:14:35,565 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 12:14:50,156 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:14:50,164 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 12:14:50,171 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:14:50,182 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 12:16:41,050 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:16:41,055 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 12:16:41,060 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:16:41,069 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 12:17:23,544 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:17:23,551 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 12:17:23,556 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:17:23,567 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 12:17:57,797 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:17:57,802 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\main\resources
2016-11-03 12:17:57,808 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-03 12:17:57,817 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ljm7b\Documents\Big_Data_Fall_2016\Source\Data_Store_Servlet\Team4_Servlet_BigData\src\test\resources
2016-11-03 12:20:26,551 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
